votes,gas,blocks15,blocks30,fee15,fee30
3501,5356754064,15961878,,,
4200,6426268800,15957687,,,
4597,7033704208,15955286,,,
4703,7195890992,15954575,,,
3935,6020801840,15959048,,,
4354,6661898656,15956799,,,
3934,6019271776,15959052,,,
4120,6303863680,15958118,,,
4870,7451411680,15953550,,,
4239,6485941296,15957441,,,
4202,6429328928,15957674,,,
4405,6739931920,15956451,,,
4760,7283104640,15954200,,,
4301,6580805264,15957114,,,
3086,4721777504,15964901,,,
3743,5727029552,15960136,,,
4688,7172940032,15954662,,,
4706,7200481184,15954560,,,
4802,7347367328,15953897,,,
4117,6299273488,15958136,,,
4101,6274792464,15958240,,,
3379,5170086256,15962816,,,
4848,7417750272,15953659,,,
3948,6040692672,15958989,,,
3229,4940576656,15963967,,,
4330,6625177120,15956946,,,
4632,7087256448,15955063,,,
3701,5662766864,15960435,,,
4646,7108677344,15954968,,,
4907,7508024048,15953357,,,
3568,5459268352,15961353,,,
4097,6268672208,15958260,,,
3314,5070632096,15963320,,,
4634,7090316576,15955051,,,
4216,6450749824,15957597,,,
4867,7446821488,15953567,,,
3072,4700356608,15965020,,,
3824,5850964736,15959651,,,
3899,5965719536,15959209,,,
3796,5808122944,15959822,,,
4756,7276984384,15954224,,,
3655,5592383920,15960775,,,
4428,6775123392,15956313,,,
3669,5613804816,15960685,,,
4151,6351295664,15957965,,,
4709,7205071376,15954541,,,
4911,7514144304,15953336,,,
3090,4727897760,15964874,,,
4772,7301465408,15954120,,,
4275,6541023600,15957247,,,
3467,5304731888,15962159,,,
3778,5780581792,15959940,,,
3528,5398065792,15961679,,,
3498,5352163872,15961903,,,
4046,6190638944,15958549,,,
4263,6522662832,15957315,,,
3783,5788232112,15959910,,,
3723,5696428272,15960283,,,
4791,7330536624,15953982,,,
3025,4628443600,15965402,,,
4359,6669548976,15956761,,,
3792,5802002688,15959855,,,
3265,4995658960,15963684,,,
4961,7590647504,15953092,,,
3261,4989538704,15963712,,,
3482,5327682848,15962037,,,
3206,4905385184,15964131,,,
3276,5012489664,15963601,,,
4871,7452941744,15953545,,,
4266,6527253024,15957300,,,
4631,7085726384,15955065,,,
4948,7570756672,15953153,,,
3076,4706476864,15964981,,,
