number,timestamp,gas_limit,gas_used,base_fee_per_gas,gas_free15,gas_free,gas_free15_sum,gas_free30_sum,base_fee15_per_gas,base_fee30_per_gas,gas_used15,gas_used30
15975708,"2022-11-15 13:22:59 UTC",30000000,15739379,12057805535,0,14260621,23732292356,153000614044,,,15739379,30000000
15975709,"2022-11-15 13:23:11 UTC",30000000,17503137,12132099603,0,12496863,23732292356,152986353423,,,17503137,30000000
15975710,"2022-11-15 13:23:23 UTC",30000000,19557238,12385168831,0,10442762,23732292356,152973856560,,,19557238,30000000
15975711,"2022-11-15 13:23:35 UTC",30000000,10961765,12855520181,4038235,19038235,23732292356,152963413798,,,15000000,30000000
15975712,"2022-11-15 13:23:47 UTC",30000000,29032436,12422906752,0,967564,23728254121,152944375563,,,29032436,30000000
15975713,"2022-11-15 13:23:59 UTC",30000000,13139849,13875603784,1860151,16860151,23728254121,152943407999,,,15000000,30000000
15975714,"2022-11-15 13:24:11 UTC",30000000,14078297,13660514466,921703,15921703,23726393970,152926547848,,,15000000,30000000
15975715,"2022-11-15 13:24:23 UTC",30000000,10288176,13555589990,4711824,19711824,23725472267,152910626145,,,15000000,30000000
15975716,"2022-11-15 13:24:47 UTC",30000000,23216658,13023327038,0,6783342,23720760443,152890914321,,,23216658,30000000
15975717,"2022-11-15 13:24:59 UTC",30000000,11944936,13915062240,3055064,18055064,23720760443,152884130979,,,15000000,30000000
15975718,"2022-11-15 13:25:11 UTC",30000000,12783247,13560800526,2216753,17216753,23717705379,152866075915,,,15000000,30000000
15975719,"2022-11-15 13:25:23 UTC",30000000,10931120,13310292649,4068880,19068880,23715488626,152848859162,,,15000000,30000000
15975720,"2022-11-15 13:25:47 UTC",29970705,28817129,12858976120,0,1153576,23711419746,152829790282,,,28817129,30000000
15975721,"2022-11-15 13:25:59 UTC",29999972,16165413,14342612358,0,13834559,23711419746,152828636706,,,16165413,30000000
15975722,"2022-11-15 13:26:11 UTC",30000000,18924624,14481906385,0,11075376,23711419746,152814802147,,,18924624,30000000
15975723,"2022-11-15 13:26:23 UTC",30000000,10495075,14955540029,4504925,19504925,23711419746,152803726771,,,15000000,30000000
15975724,"2022-11-15 13:26:35 UTC",30000000,15637899,14394093478,0,14362101,23706914821,152784221846,,,15637899,30000000
15975725,"2022-11-15 13:26:47 UTC",30000000,12819928,14470609959,2180072,17180072,23706914821,152769859745,,,15000000,30000000
15975726,"2022-11-15 13:26:59 UTC",30000000,11481566,14207718530,3518434,18518434,23704734749,152752679673,,,15000000,30000000
15975727,"2022-11-15 13:27:11 UTC",30000000,14244322,13791144198,755678,15755678,23701216315,152734161239,,,15000000,30000000
15975728,"2022-11-15 13:27:23 UTC",30000000,9184039,13704296996,5815961,20815961,23700460637,152718405561,,,15000000,30000000
15975729,"2022-11-15 13:27:35 UTC",30000000,5465850,13040099856,9534150,24534150,23694644676,152697589600,,,15000000,30000000
15975730,"2022-11-15 13:27:47 UTC",30000000,24912398,12004047623,0,5087602,23685110526,152673055450,,,24912398,30000000
15975731,"2022-11-15 13:27:59 UTC",30000000,12712264,12995621770,2287736,17287736,23685110526,152667967848,,,15000000,30000000
15975732,"2022-11-15 13:28:11 UTC",30000000,12882876,12747867172,2117124,17117124,23682822790,152650680112,,,15000000,30000000
15975733,"2022-11-15 13:28:23 UTC",30000000,25096789,12522960376,0,4903211,23680705666,152633562988,,,25096789,30000000
15975734,"2022-11-15 13:28:35 UTC",30000000,23114923,13576641114,0,6885077,23680705666,152628659777,,,23114923,30000000
15975735,"2022-11-15 13:28:47 UTC",30000000,9985411,14494752757,5014589,20014589,23680705666,152621774700,,,15000000,30000000
15975736,"2022-11-15 13:28:59 UTC",30000000,12496311,13889042526,2503689,17503689,23675691077,152601760111,,,15000000,30000000
15975737,"2022-11-15 13:29:11 UTC",30000000,13703615,13599260502,1296385,16296385,23673187388,152584256422,,,15000000,30000000
15975738,"2022-11-15 13:29:23 UTC",30000000,11136854,13452344858,3863146,18863146,23671891003,152567960037,,,15000000,30000000
15975739,"2022-11-15 13:29:35 UTC",30000000,14266924,13019275090,733076,15733076,23668027857,152549096891,,,15000000,30000000
15975740,"2022-11-15 13:29:47 UTC",30000000,10752337,12939740773,4247663,19247663,23667294781,152533363815,,,15000000,30000000
15975741,"2022-11-15 13:29:59 UTC",30000000,20150779,12481710289,0,9849221,23663047118,152514116152,,,20150779,30000000
15975742,"2022-11-15 13:30:11 UTC",30000000,29955853,13017464716,0,44147,23663047118,152504266931,,,29955853,30000000
15975743,"2022-11-15 13:30:23 UTC",30000000,24981237,14639858788,0,5018763,23663047118,152504222784,,,24981237,30000000
15975744,"2022-11-15 13:30:35 UTC",30000000,27817784,15857557956,0,2182216,23663047118,152499204021,,,27817784,30000000
15975745,"2022-11-15 13:30:47 UTC",30000000,27638537,17551380894,0,2361463,23663047118,152497021805,,,27638537,30000000
15975746,"2022-11-15 13:30:59 UTC",30000000,17197990,19399912367,0,12802010,23663047118,152494660342,,,17197990,30000000
15975747,"2022-11-15 13:31:11 UTC",30000000,23198005,19755252478,0,6801995,23663047118,152481858332,,,23198005,30000000
15975748,"2022-11-15 13:31:23 UTC",30000000,16855275,21104866299,0,13144725,23663047118,152475056337,,,16855275,30000000
15975749,"2022-11-15 13:31:35 UTC",30000000,12100999,21431160722,2899001,17899001,23663047118,152461911612,,,15000000,30000000
15975750,"2022-11-15 13:31:47 UTC",30000000,15339095,20913419419,0,14660905,23660148117,152444012611,,,15339095,30000000
15975751,"2022-11-15 13:31:59 UTC",30000000,10052048,20972516385,4947952,19947952,23660148117,152429351706,,,15000000,30000000
15975752,"2022-11-15 13:32:11 UTC",30000000,17482783,20107758016,0,12517217,23655200165,152409403754,,,17482783,30000000
15975753,"2022-11-15 13:32:23 UTC",30000000,17802908,20523784680,0,12197092,23655200165,152396886537,,,17802908,30000000
